ชื่อสาขา,เลขที่เอกสาร,รายการขาย,จำนวน,ราคาต่อหน่วย,ส่วนลดรายการ,มูลค่าก่อนภาษี,ส่วนลด,ยอดขาย,ภาษี,ราคาสุทธิ
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,214.95,0,214.95,15.05,230
สนามบินดอนเมือง,ABB-001-2602/00026,2026-02-23 06:28,,,,,,,,
,,1. MINI009/Sushi Bento Super Maki S (หน่วย),2,200,0,373.83,,,,
,,,,,,373.83,0,373.83,26.17,400
สนามบินดอนเมือง,ABB-001-2602/00027,2026-02-23 06:29,,,,,,,,
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,214.95,0,214.95,15.05,230
สนามบินดอนเมือง,ABB-001-2602/00028,2026-02-23 06:31,,,,,,,,
,,1. DON015/Salmon Teriyaki Don (หน่วย),1,250,0,233.64,,,,
,,,,,,233.64,0,233.64,16.36,250
สนามบินดอนเมือง,ABB-001-2602/00029,2026-02-23 06:44,,,,,,,,
,,1. DON013/Torikatsu Curry Don (หน่วย),1,240,0,224.3,,,,
,,,,,,224.3,0,224.3,15.7,240
สนามบินดอนเมือง,ABB-001-2602/00030,2026-02-23 06:44,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00031,2026-02-23 06:45,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00032,2026-02-23 06:46,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00033,2026-02-23 06:51,,,,,,,,
,,1. APP003/Salmon Tataki (หน่วย),1,140,0,130.84,,,,
,,,,,,130.84,13.08,117.76,8.24,126
สนามบินดอนเมือง,ABB-001-2602/00034,2026-02-23 06:53,,,,,,,,
,,1. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00035,2026-02-23 06:54,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00036,2026-02-23 07:05,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00037,2026-02-23 07:07,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00038,2026-02-23 07:12,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,2. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,,,,,392.52,0,392.52,27.48,420
สนามบินดอนเมือง,ABB-001-2602/00039,2026-02-23 07:35,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00040,2026-02-23 07:35,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00041,2026-02-23 07:37,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00042,2026-02-23 08:03,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00043,2026-02-23 08:18,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00044,2026-02-23 08:29,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),3,10,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00045,2026-02-23 08:32,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00046,2026-02-23 08:37,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00047,2026-02-23 08:38,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00048,2026-02-23 08:41,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00049,2026-02-23 08:46,,,,,,,,
,,1. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,163.55,0,163.55,11.45,175
สนามบินดอนเมือง,ABB-001-2602/00050,2026-02-23 08:46,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00051,2026-02-23 08:51,,,,,,,,
,,1. APP001/Chuka Wakame (หน่วย),1,40,0,37.38,,,,
,,2. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,,,,,224.3,0,224.3,15.7,240
สนามบินดอนเมือง,ABB-001-2602/00052,2026-02-23 08:56,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00053,2026-02-23 09:02,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00054,2026-02-23 09:07,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00055,2026-02-23 09:09,,,,,,,,
,,1. DES001/Rare Cheese Daifuku (หน่วย),1,39,0,36.45,,,,
,,2. DES002/Yuzu Daifuku (หน่วย),1,39,0,36.45,,,,
,,,,,,72.9,0,72.9,5.1,78
สนามบินดอนเมือง,ABB-001-2602/00056,2026-02-23 09:10,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,2. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,224.3,0,224.3,15.7,240
สนามบินดอนเมือง,ABB-001-2602/00057,2026-02-23 09:11,,,,,,,,
,,1. DES004/Dorayaki (หน่วย),3,50,0,140.19,,,,
,,2. APP005/Tako Wasabi (หน่วย),1,110,0,102.8,,,,
,,3. MED002/Sushi Bento Medium Set 2 (หน่วย),1,420,0,392.52,,,,
,,,,,,635.51,0,635.51,44.49,680
สนามบินดอนเมือง,ABB-001-2602/00058,2026-02-23 09:12,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00059,2026-02-23 09:15,,,,,,,,
,,1. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,0,186.92,13.08,200
สนามบินดอนเมือง,ABB-001-2602/00060,2026-02-23 09:26,,,,,,,,
,,1. DON015/Salmon Teriyaki Don (หน่วย),1,250,0,233.64,,,,
,,,,,,233.64,0,233.64,16.36,250
สนามบินดอนเมือง,ABB-001-2602/00061,2026-02-23 09:27,,,,,,,,
,,1. BEV003/Pepsi (Can) 325ml. (หน่วย),1,30,0,28.04,,,,
,,2. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,37.38,0,37.38,2.62,40
สนามบินดอนเมือง,ABB-001-2602/00062,2026-02-23 09:29,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00063,2026-02-23 09:33,,,,,,,,
,,1. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,163.55,0,163.55,11.45,175
สนามบินดอนเมือง,ABB-001-2602/00064,2026-02-23 09:34,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00065,2026-02-23 09:43,,,,,,,,
,,1. BEV004/Pepsi Max (Can) 325ml. (หน่วย),1,30,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00066,2026-02-23 09:44,,,,,,,,
,,1. BEV004/Pepsi Max (Can) 325ml. (หน่วย),1,30,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00067,2026-02-23 09:45,,,,,,,,
,,1. MINI008/Sushi Bento  Veggie 2 (หน่วย),1,165,0,154.21,,,,
,,,,,,154.21,0,154.21,10.79,165
สนามบินดอนเมือง,ABB-001-2602/00068,2026-02-23 09:49,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,2. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,172.9,0,172.9,12.1,185
สนามบินดอนเมือง,ABB-001-2602/00069,2026-02-23 09:50,,,,,,,,
,,1. MINI013/Salmon Tuna Ebiko Sandwich Sushi Bento (หน่วย),1,320,0,299.07,,,,
,,,,,,299.07,0,299.07,20.93,320
สนามบินดอนเมือง,ABB-001-2602/00070,2026-02-23 09:50,,,,,,,,
,,1. APP007/Kimchi (หน่วย),1,60,0,56.07,,,,
,,,,,,56.07,0,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00071,2026-02-23 09:55,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00072,2026-02-23 09:58,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,2. DON001/Oyakodon (หน่วย),1,140,0,130.84,,,,
,,,,,,266.36,0,266.36,18.64,285
สนามบินดอนเมือง,ABB-001-2602/00073,2026-02-23 09:59,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00074,2026-02-23 10:10,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00075,2026-02-23 10:22,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,0,135.51,9.49,145
สนามบินดอนเมือง,ABB-001-2602/00076,2026-02-23 10:23,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00077,2026-02-23 10:25,,,,,,,,
,,1. DES003/Matcha Red Bean Daifuku (หน่วย),1,39,0,36.45,,,,
,,2. DES002/Yuzu Daifuku (หน่วย),1,39,0,36.45,,,,
,,,,,,72.9,0,72.9,5.1,78
สนามบินดอนเมือง,ABB-001-2602/00078,2026-02-23 10:30,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00079,2026-02-23 10:59,,,,,,,,
,,1. MED009/Tuna Varity Set M (หน่วย),1,420,0,392.52,,,,
,,,,,,392.52,0,392.52,27.48,420
สนามบินดอนเมือง,ABB-001-2602/00080,2026-02-23 11:09,,,,,,,,
,,1. DON002/Gyu Don (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00081,2026-02-23 11:11,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00082,2026-02-23 11:16,,,,,,,,
,,1. MINI013/Salmon Tuna Ebiko Sandwich Sushi Bento (หน่วย),1,320,0,299.07,,,,
,,2. MED009/Tuna Varity Set M (หน่วย),1,420,0,392.52,,,,
,,3. MED002/Sushi Bento Medium Set 2 (หน่วย),1,420,0,392.52,,,,
,,4. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,1299.07,0,1299.07,90.93,1390
สนามบินดอนเมือง,ABB-001-2602/00083,2026-02-23 11:18,,,,,,,,
,,1. APP001/Chuka Wakame (หน่วย),1,40,0,37.38,,,,
,,2. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,233.64,0,233.64,16.36,250
สนามบินดอนเมือง,ABB-001-2602/00084,2026-02-23 11:21,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),2,200,0,373.83,,,,
,,,,,,373.83,0,373.83,26.17,400
สนามบินดอนเมือง,ABB-001-2602/00085,2026-02-23 11:28,,,,,,,,
,,1. MED002/Sushi Bento Medium Set 2 (หน่วย),1,420,0,392.52,,,,
,,2. MED004/Sushi Bento Sashimi Varity (หน่วย),2,420,0,785.05,,,,
,,,,,,1177.57,0,1177.57,82.43,1260
สนามบินดอนเมือง,ABB-001-2602/00086,2026-02-23 11:31,,,,,,,,
,,1. MINI003/Tuna Sushi 7 pcs. (หน่วย),1,275,0,257.01,,,,
,,2. DON002/Gyu Don (หน่วย),1,210,0,196.26,,,,
,,,,,,453.27,0,453.27,31.73,485
สนามบินดอนเมือง,ABB-001-2602/00087,2026-02-23 11:34,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00088,2026-02-23 11:43,,,,,,,,
,,1. DON003/Poke Bowl (หน่วย),1,275,0,257.01,,,,
,,2. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,3. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,4. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,626.17,0,626.17,43.83,670
สนามบินดอนเมือง,ABB-001-2602/00089,2026-02-23 11:44,,,,,,,,
,,1. MINI005/Tuna Varity Set S (หน่วย),1,275,0,257.01,,,,
,,,,,,257.01,0,257.01,17.99,275
สนามบินดอนเมือง,ABB-001-2602/00090,2026-02-23 11:50,,,,,,,,
,,1. DON007/Buta Teriyaki Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,0,135.51,9.49,145
สนามบินดอนเมือง,ABB-001-2602/00091,2026-02-23 11:52,,,,,,,,
,,1. DON005/Aburi Salmon Don (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00092,2026-02-23 11:52,,,,,,,,
,,1. DES003/Matcha Red Bean Daifuku (หน่วย),1,39,0,36.45,,,,
,,2. MED009/Tuna Varity Set M (หน่วย),1,420,0,392.52,,,,
,,,,,,428.97,0,428.97,30.03,459
สนามบินดอนเมือง,ABB-001-2602/00093,2026-02-23 11:54,,,,,,,,
,,1. DON014/Negi Salmon Don (หน่วย),1,210,0,196.26,,,,
,,2. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,3. DON005/Aburi Salmon Don (หน่วย),1,220,0,205.61,,,,
,,,,,,537.38,0,537.38,37.62,575
สนามบินดอนเมือง,ABB-001-2602/00094,2026-02-23 11:59,,,,,,,,
,,1. BEV008/Sprite (Can) 325ml. (หน่วย),1,30,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00095,2026-02-23 12:06,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00096,2026-02-23 12:12,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00097,2026-02-23 12:18,,,,,,,,
,,1. BEV002/Asahi Beer (Can) 330 ml. (หน่วย),2,90,0,168.22,,,,
,,,,,,168.22,0,168.22,11.78,180
สนามบินดอนเมือง,ABB-001-2602/00098,2026-02-23 12:19,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,,,,,228.97,0,228.97,16.03,245
สนามบินดอนเมือง,ABB-001-2602/00099,2026-02-23 12:23,,,,,,,,
,,1. DON009/Unagi Don (หน่วย),1,385,0,359.81,,,,
,,,,,,359.81,0,359.81,25.19,385
สนามบินดอนเมือง,ABB-001-2602/00100,2026-02-23 12:24,,,,,,,,
,,1. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00101,2026-02-23 12:25,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00102,2026-02-23 12:33,,,,,,,,
,,1. DES003/Matcha Red Bean Daifuku (หน่วย),2,39,0,72.9,,,,
,,2. MED003/Salmon Varity Set  M (หน่วย),1,385,0,359.81,,,,
,,,,,,432.71,0,432.71,30.29,463
สนามบินดอนเมือง,ABB-001-2602/00103,2026-02-23 12:34,,,,,,,,
,,1. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00104,2026-02-23 12:34,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,0,135.51,9.49,145
สนามบินดอนเมือง,ABB-001-2602/00105,2026-02-23 12:49,,,,,,,,
,,1. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00106,2026-02-23 12:51,,,,,,,,
,,1. BEV001/Singha Beer (Can) 320 ml. (หน่วย),2,90,0,168.22,,,,
,,,,,,168.22,0,168.22,11.78,180
สนามบินดอนเมือง,ABB-001-2602/00107,2026-02-23 12:56,,,,,,,,
,,1. DES002/Yuzu Daifuku (หน่วย),1,39,0,36.45,,,,
,,,,,,36.45,0,36.45,2.55,39
สนามบินดอนเมือง,ABB-001-2602/00108,2026-02-23 13:00,,,,,,,,
,,1. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,163.55,0,163.55,11.45,175
สนามบินดอนเมือง,ABB-001-2602/00109,2026-02-23 13:00,,,,,,,,
,,1. DON009/Unagi Don (หน่วย),1,385,0,359.81,,,,
,,2. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,,,,,588.79,0,588.79,41.21,630
สนามบินดอนเมือง,ABB-001-2602/00110,2026-02-23 13:01,,,,,,,,
,,1. DES002/Yuzu Daifuku (หน่วย),1,39,0,36.45,,,,
,,,,,,36.45,0,36.45,2.55,39
สนามบินดอนเมือง,ABB-001-2602/00111,2026-02-23 13:10,,,,,,,,
,,1. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,2. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,93.46,0,93.46,6.54,100
สนามบินดอนเมือง,ABB-001-2602/00112,2026-02-23 13:13,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00113,2026-02-23 13:29,,,,,,,,
,,1. DES002/Yuzu Daifuku (หน่วย),1,39,0,36.45,,,,
,,2. DON015/Salmon Teriyaki Don (หน่วย),1,250,0,233.64,,,,
,,3. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,4. APP007/Kimchi (หน่วย),1,60,0,56.07,,,,
,,,,,,522.43,0,522.43,36.57,559
สนามบินดอนเมือง,ABB-001-2602/00114,2026-02-23 13:32,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,0,135.51,9.49,145
สนามบินดอนเมือง,ABB-001-2602/00115,2026-02-23 14:08,,,,,,,,
,,1. DON013/Torikatsu Curry Don (หน่วย),1,240,0,224.3,,,,
,,,,,,224.3,0,224.3,15.7,240
สนามบินดอนเมือง,ABB-001-2602/00116,2026-02-23 14:17,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,,,,,228.97,0,228.97,16.03,245
สนามบินดอนเมือง,ABB-001-2602/00117,2026-02-23 14:18,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00118,2026-02-23 14:19,,,,,,,,
,,1. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00119,2026-02-23 14:21,,,,,,,,
